did,kreis,pop,
8111,Stuttgart,632743,x
8115,Landkreis B?blingen,389548,
8116,Landkreis Esslingen,532447,
8117,Landkreis G?ppingen,256345,
8118,Landkreis Ludwigsburg,542630,
8119,Rems-Murr-Kreis,424879,
8121,Heilbronn,125113,
8125,Landkreis Heilbronn,340772,
8126,Hohenlohekreis,111393,
8127,Landkreis Schw?bisch Hall,194203,
8128,Main-Tauber-Kreis,132190,
8135,Landkreis Heidenheim,132006,
8136,Ostalbkreis,312423,
8211,Baden-Baden,54718,
8212,Karlsruhe,311919,
8215,Landkreis Karlsruhe,442673,
8216,Landkreis Rastatt,230216,
8221,Heidelberg,160601,
8222,Mannheim,307997,
8225,Neckar-Odenwald-Kreis,143377,
8226,Rhein-Neckar-Kreis,546746,
8231,Pforzheim,124289,
8235,Landkreis Calw,157424,
8236,Enzkreis,198370,
8237,Landkreis Freudenstadt,117456,
8311,Freiburg im Breisgau,229636,
8315,Landkreis Breisgau-Hochschwarzwald,262405,
8316,Landkreis Emmendingen,164712,
8317,Ortenaukreis,425933,
8325,Landkreis Rottweil,138858,
8326,Schwarzwald-Baar-Kreis,211208,
8327,Landkreis Tuttlingen,139397,
8335,Landkreis Konstanz,284015,
8336,Landkreis L?rrach,228314,
8337,Landkreis Waldshut,170198,
8415,Landkreis Reutlingen,285754,
8416,Landkreis T?bingen,225755,
8417,Zollernalbkreis,188171,
8421,Ulm,125596,
8425,Alb-Donau-Kreis,194630,
8426,Landkreis Biberach,198265,
8435,Bodenseekreis,214656,
8436,Landkreis Ravensburg,283264,
8437,Landkreis Sigmaringen,130192,
15081,Altmarkkreis Salzwedel,84458,
